state,fips,population_2020_base,population_2020,population_2021,population_2022,population_2023,population_2024,population_2025
Alabama,01,5025437,5032962,5050058,5076868,5117850,5163055,5193088
Alaska,02,733383,732906,734590,733659,734654,736537,737270
Arizona,04,7158104,7186647,7274022,7370065,7452073,7556424,7623818
Arkansas,05,3011530,3014399,3027127,3047429,3069856,3096080,3114791
California,06,39555703,39527808,39152927,39125347,39181667,39364774,39355309
Colorado,08,5775326,5786873,5814368,5853355,5912240,5988502,6012561
Connecticut,09,3607750,3579643,3607765,3618707,3641369,3674449,3688496
Delaware,10,989950,991890,1005130,1020279,1035354,1050123,1059952
District of Columbia,11,689544,670958,669637,674501,682559,691310,693645
Florida,12,21538207,21591325,21836698,22413989,22929248,23265838,23462518
Georgia,13,10713861,10732595,10793038,10929992,11063669,11204208,11302748
Hawaii,15,1455267,1451130,1446909,1437812,1434950,1434952,1432820
Idaho,16,1839123,1849328,1904855,1942951,1970497,2000872,2029733
Illinois,17,12821741,12795348,12703354,12609577,12633389,12703033,12719141
Indiana,18,6786605,6790290,6814223,6841491,6881373,6934754,6973333
Iowa,19,3190582,3191081,3199037,3201890,3214739,3230454,3238387
Kansas,20,2937986,2938274,2938966,2938034,2949749,2965252,2977220
Kentucky,21,4506287,4508271,4508348,4521238,4549953,4584046,4606864
Louisiana,22,4657894,4652145,4628595,4600892,4598777,4614878,4618189
Maine,23,1363218,1364546,1379009,1391585,1401992,1408438,1414874
Maryland,24,6181640,6178387,6176035,6183257,6204927,6245314,6265347
Massachusetts,25,7033112,6985320,6996721,7025465,7073479,7138560,7154084
Michigan,26,10079362,10072294,10042362,10043906,10062124,10099962,10127884
Minnesota,27,5706733,5710562,5714055,5727565,5752998,5797405,5830405
Mississippi,28,2961264,2958385,2947603,2941237,2942470,2950172,2954160
Missouri,29,6154913,6155074,6172551,6179285,6205956,6243544,6270541
Montana,30,1084221,1087156,1106416,1121533,1130612,1137557,1144694
Nebraska,31,1961980,1963318,1964697,1972595,1988172,2005591,2018006
Nevada,32,3105593,3116851,3148472,3177672,3211077,3253543,3282188
New Hampshire,33,1377573,1378752,1387907,1396647,1401530,1408518,1415342
New Jersey,34,9289024,9270476,9266509,9298402,9395315,9506354,9548215
New Mexico,35,2117492,2118446,2117300,2112859,2119349,2126774,2125498
New York,36,20203696,20122262,19835345,19713025,19786543,20001419,20002427
North Carolina,37,10441392,10450215,10565503,10705768,10871849,11052061,11197968
North Dakota,38,779136,779612,777977,780191,787071,793387,799358
Ohio,39,11799445,11798534,11761443,11764950,11808390,11860621,11900510
Oklahoma,40,3959354,3965243,3992760,4025327,4062716,4097758,4123288
Oregon,41,4237282,4243544,4254691,4245964,4250392,4265324,4273586
Pennsylvania,42,13002753,12995576,13016628,12984655,13009406,13045848,13059432
Rhode Island,44,1097357,1096487,1097381,1098275,1101183,1110415,1114521
South Carolina,45,5118250,5131992,5194346,5288957,5390798,5490316,5570274
South Dakota,46,886656,887808,896303,909156,917739,927110,935094
Tennessee,47,6912319,6927736,6966687,7063325,7153029,7251291,7315076
Texas,48,29149498,29237895,29572672,30118002,30719247,31318578,31709821
Utah,49,3271601,3283970,3339874,3393928,3449259,3502983,3538904
Vermont,50,643077,642965,647238,647614,647722,646521,644663
Virginia,51,8631419,8637303,8660007,8681038,8732034,8819642,8880107
Washington,53,7707519,7726812,7744316,7786828,7838655,7927958,8001020
West Virginia,54,1793759,1791670,1785921,1774003,1770036,1767402,1766147
Wisconsin,55,5894323,5897371,5882128,5903472,5930350,5957168,5972787
Wyoming,56,576872,577669,579662,581742,584666,586722,588753
